twitter,elephant-bird,537
universal-ctags,ctags,3700
sonatype,m2eclipse-scala,0
kana,vim-textobj-function,26
leebyron,streamgraph,0
nathanmarz,cascalog,497
szegedi,dynalink,136
ewhauser,zookeeper,0
jvoegele,gradle-android-plugin,0
SIPfoundry,legacy-sipxecs,0
sonatype,sonatype-aether,0
magro,kryo-serializers,230
jbrisbin,vcloud,0
nirvdrum,selenium-grid,0
titanpad,titanpad,0
chenshuo,recipes,0
twitter-forks,thrift,0
kilim,kilim,0
millermedeiros,Hasher,0
0xfe,experiments,0
bndtools,bnd,3041
simpligility,ksoap2-android,157
flaper87,meclipse,0
jenkinsci,git-plugin,0
got5,tapestry5-jquery,109
tinkerpop,pipes,102
rawr,rawr,0
davidrea,Deacon,0
basho,riak-java-client,548
arnaudsj,libsvm,0
kohsuke,github-api,0
brianfrankcooper,YCSB,1402
liato,android-bankdroid,694
cinder,Cinder,417
johndeverall,opengraph-java,0
mcfunley,juds,18
eishay,jvm-serializers,0
zed-0xff,ctf,0
bagilevi,android-pedometer,0
Kitware,VTK,0
thesp0nge,owasp-orizon,0
graphstream,gs-core,13
graphstream,gs-algo,0
mrjbq7,re-factor,0
jai-imageio,jai-imageio-core,87
sirthias,pegdown,0
openstreetmap,josm,0
marcomaggi,vicare,11
taylorleese,google-app-engine-jappstart,0
jbehave,jbehave-core,160
spullara,mustache.java,295
assimp,assimp,2600
suguru,cassandra-webconsole,0
boo-lang,boo,416
tulskiy,musique,0
scriptographer,scriptographer,0
synhershko,HebMorph,251
esnyder,callrecorder,0
facebook,facebook-android-sdk,247
cdk,cdk,873
todbot,arduino-serial,0
dcaoyuan,aiotrade,0
todotxt,todo.txt-android,0
orfjackal,idea-sbt-plugin,0
thewca,tnoodle,337
krukow,clj-ds,0
Graylog2,graylog2-server,10735
marcesher,cfmongodb,0
sorcix,sIRC,52
todoroo,astrid,0
drewcrawford,sneakernet,0
bigbluebutton,bigbluebutton,0
hbase-trx,hbase-transactional-tableindexed,0
ruboto,ruboto-irb,0
apache,jmeter,2675
libretro,RetroArch,8548
apache,mina-sshd,0
dkandalov,pomodoro-tm,2
intervigilium,MicDroid,0
ZhouWeikuan,cocos2d,0
valotrading,stirling,196
aled,jsi,25
360,360-Engine-for-Android,0
magro,msm-sample-webapp,0
log4mongo,log4mongo-java,0
headius,ruby-atomic,74
apollo-rsps,apollo,752
paul-hammant,paranamer,0
spullara,havrobase,0
AlgorithmsNYC,AlgorithmsNYC,0
cloudera,flume,0
cbeams,distyles,0
jenkinsci,gerrit-trigger-plugin,0
alohaeditor,Aloha-Editor,539
xetorthio,jedis,1765
DigitalPebble,behemoth,14
tfnico,guava-examples,0
getrailo,railo,0
ruboto,ruboto,1241
nicerobot,objc,0
liebke,cljr,0
npryce,maybe-java,0
cloudera,hue,0
abarisain,dmix,1006
sanity,Athena,0
xapian,xapian,815
lintool,Cloud9,0
searls,jasmine-maven-plugin,336
rhdunn,espeak,0
sevntu-checkstyle,sevntu.checkstyle,1337
cbeust,testng,1451
cbeust,testng-eclipse,491
northern-bites,nbites,191
clojure,clojure,0
Atmosphere,atmosphere,635
playframework,play-1.0-scala-module,0
CyanogenMod,android_packages_apps_CMParts,0
matadon,mizuno,0
CyanogenMod,android_system_core,0
CyanogenMod,android_packages_apps_DeskClock,0
CyanogenMod,android_packages_apps_Browser,0
CyanogenMod,android_packages_apps_Contacts,0
CyanogenMod,android_packages_apps_Email,0
CyanogenMod,android_packages_apps_Mms,0
CyanogenMod,android_packages_apps_Music,0
CyanogenMod,android_dalvik,0
CyanogenMod,android_development,0
CyanogenMod,android_external_skia,0
CyanogenMod,android_external_webkit,0
CyanogenMod,android_packages_apps_ADWLauncher,0
jamesward,JSAMF,0
CyanogenMod,android_packages_apps_Camera,0
kjk,volante-obsolete,0
CyanogenMod,android_packages_apps_Gallery,0
CyanogenMod,android_packages_apps_Gallery3D,0
CyanogenMod,android_packages_apps_Superuser,0
CyanogenMod,android_packages_apps_Launcher2,0
cloudkick,cast,0
wildfly,wildfly,0
krasserm,grails-jaxrs,0
lmco,eurekastreams,0
mirah,dubious,0
SimonRit,RTK,340
mess110,detection,0
ning,compress,0
cbeust,jcommander,320
vrapper,vrapper,0
MIT-Mobile,MIT-Mobile-for-Android,0
cakephp,cakephp-netbeans,0
gavinandresen,bitcoin-git,0
imageworks,OpenColorIO,56
jexp,jpatterns,0
libtom,libtomcrypt,1133
rhuss,jolokia,814
shrinkwrap,shrinkwrap,0
forward,mandy,0
erlware,Erlang-and-OTP-in-Action-Source,0
propublica,Capitol-Words,0
19WAS85,coollection,0
mono,mono,42
ThoughtWorksStudios,oauth2_provider,0
joelind,zxing-iphone,0
wesabe,ssu,0
InsightSoftwareConsortium,ITK,0
sreichholf,dreamDroid,372
modxcms,revolution,1514
kritzikratzi,edsdk4j,0
apache,deltacloud,0
MaskedRetriever,SuperSkein,0
rabbitmq,rmq-0mq,0
tdunning,Plume,0
smartrics,RestFixture,73
arquillian,arquillian-showcase,0
arquillian,arquillian-examples,0
geb,geb,57
mixpanel,mixpanel-android,260
weld,core,3737
wildfly,jandex,0
phpundercontrol,phpUnderControl-UNMAINTAINED,0
petar,GoLLRB,0
dex4er,fakechroot,206
CyanogenMod,android_packages_apps_DSPManager,0
CyanogenMod,android_packages_apps_Torch,0
scrosby,OSM-binary,0
derkork,intellij-leiningen-plugin,0
cyclestreets,android,106
mirah,mirah,512
nolanlawson,Catlog,0
apache,karaf,0
apache,whirr,0
apache,maven-surefire,0
apache,tomcat70,0
jdf,processing.py,788
playframework,play1,1094
nysenate,OpenLegislation,0
pilhuhn,ZwitscherA,0
paulmach,Text-Edit-for-Android,0
booksbyus,zguide,62
xamarin,monodroid-samples,0
ganglia,ganglia_contrib,0
geeknam,Push-Contacts,0
scala,legacy-svn-scala,0
seph-lang,seph,0
unify,unify,0
aria42,infer,0
CyanogenMod,android_packages_inputmethods_LatinIME,0
bitstadium,HockeyKit,0
danlucraft,redcar,0
AxonFramework,Axon-trader,0
preon,preon,0
mongodb,mongo-hadoop,0
scalaj,scalaj-http,173
awhitford,lombok.maven,223
oNaiPs,droidVncServer,0
seam,faces,0
apache,hama,0
seam,examples,0
OpenTSDB,async,0
OpenTSDB,asynchbase,143
OpenTSDB,opentsdb,1045
robolectric,robolectric,6468
loiane,extjs-crud-grid-spring-hibernate,0
leithaus,SpecialK,0
go-lang-plugin-org,go-lang-idea-plugin,2157
horde,horde,7683
mikaelhg,openblocks,0
rtyley,agit,0
ymasory,iText-4.2.0,0
mozilla,openwebapps,0
jeremyh,jBCrypt,0
lintool,Ivory,0
FasterXML,aalto-xml,18
traitor,Minecraft-Server-Mod,0
rundeck,rundeck,2709
stanford-ppl,Delite,32
perl6,mu,0
ztellman,potemkin,141
jackpal,Android-Terminal-Emulator,0
manzke,guice-automatic-injection,0
jamescarr,nodejs-amqp-example,0
scribejava,scribejava,484
square,retrofit,3297
alexruiz,fest-assert-2.x,0
alexruiz,fest-reflect,0
paulfitz,coopy,13
michel-kraemer,bson4jackson,132
illumos,illumos-gate,0
thobbs,flume-cassandra-plugin,0
twitter,scala_school,0
caelum,vraptor-scaffold,42
errai,errai,0
panterch,ch.panter.projectzero,0
jamesshore,lets_play_tdd,0
Aconex,elasticflume,0
xetorthio,johm,0
dcm4che,dcm4che,324
tobie,ua-parser,752
hierynomus,license-gradle-plugin,122
ops4j,org.ops4j.pax.web,1716
arduino,Arduino,0
cscotta,Octobot,0
dashorst,dashboard,0
koto,blog-kotowicz-net-examples,0
ccordenier,tapestry5-hotel-booking,0
